title,year,director,genres
Clueless,,,
Titanic,,,
Speed,,,
The Silence of the Lambs,,,
You,,,
Point Break,,,
The Departed,,,
A Few Good Men,,,
Heat,,,
Jerry Maguire,,,
Moneyball,,,
White Men Can,,,
Blue Chips,,,
Any Given Sunday,,,
